0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
200.63864,200.54812,200.61205,200.60034,200.6682,200.68558,200.69525,200.71001,200.76685,200.79704,200.80514,200.80659,200.81208,200.80706,200.80928,200.81103,200.86512,200.89583,200.94248,200.98293,200.98744,200.98703,200.96482,200.97374,201.02943
200.54992,200.57852,200.60037,200.66806,200.61565,200.67888,200.75016,200.75297,200.73855,200.71108,200.76623,200.78822,200.79958,200.83169,200.83991,200.88678,200.86461,200.87865,200.90566,200.89445,200.9616,201.00839,201.04498,201.04072,200.93366
200.51181,200.52754,200.6094,200.61579,200.68144,200.7082,200.64694,200.68202,200.69337,200.7858,200.75721,200.76313,200.77787,200.77622,200.79641,200.81413,200.8594,200.88378,200.89143,200.93315,200.9218,200.94077,200.97734,201.00327,201.04724
200.588,200.60855,200.60109,200.64377,200.63946,200.62202,200.75449,200.75429,200.72373,200.69711,200.70954,200.72151,200.75403,200.79942,200.83311,200.8184,200.83712,200.86723,200.86951,200.88124,200.94886,200.98841,200.99556,201.00859,201.01389
200.6166,200.61695,200.63362,200.63191,200.69023,200.72005,200.6699,200.65525,200.69289,200.7197,200.7796,200.86302,200.8607,200.83811,200.83398,200.89005,200.88803,200.90968,200.93421,200.92424,200.92242,200.91053,200.98783,201.06044,201.01131
200.55318,200.57784,200.63422,200.65363,200.66865,200.6663,200.64805,200.69436,200.7421,200.7761,200.77576,200.76036,200.78622,200.81671,200.82867,200.84984,200.88934,200.89534,200.91249,200.95874,200.91969,200.95197,200.93593,200.93479,201.05561
200.5586,200.63177,200.64516,200.64958,200.63031,200.6485,200.69997,200.71993,200.75157,200.72796,200.75915,200.74315,200.76597,200.80998,200.81376,200.82511,200.84106,200.85883,200.8927,200.92785,200.96614,200.95833,200.9643,200.98577,201.00276
200.62682,200.59079,200.57624,200.62409,200.64423,200.68682,200.69673,200.74291,200.72707,200.75449,200.75965,200.78633,200.79072,200.81749,200.84385,200.87952,200.85858,200.89734,200.91185,200.90836,200.92719,200.9793,201.01113,201.0248,201.01514
200.55302,200.57901,200.61573,200.63069,200.69667,200.69333,200.70125,200.70559,200.72554,200.7654,200.77629,200.81066,200.82324,200.83875,200.86934,200.84846,200.8971,200.89118,200.9099,200.94423,200.96797,200.96323,200.96069,200.98714,201.01791
200.59009,200.61008,200.62483,200.65439,200.64616,200.68568,200.70515,200.70745,200.74391,200.74183,200.77461,200.81468,200.84646,200.82051,200.83555,200.87887,200.88917,200.88856,200.92323,200.90705,200.94488,200.9359,200.98177,200.9889,200.98557
200.60319,200.61769,200.61389,200.62452,200.646,200.63765,200.68764,200.71351,200.72499,200.75204,200.79457,200.80475,200.79631,200.87423,200.87779,200.88999,200.89138,200.92098,200.91059,200.93125,200.92856,200.97562,200.95844,200.99818,200.99454
200.57365,200.59956,200.63613,200.65413,200.6382,200.67564,200.68748,200.71217,200.72022,200.78351,200.76918,200.78945,200.84062,200.83027,200.89657,200.9081,200.91319,200.94798,200.92958,200.96115,200.97384,200.95401,200.98878,200.98544,201.05982
200.57679,200.60892,200.60676,200.61548,200.6411,200.67459,200.69365,200.72087,200.75953,200.74164,200.7981,200.81529,200.84748,200.87123,200.85572,200.86931,200.90808,200.89933,200.94725,200.94603,200.95483,200.99845,201.01096,200.99656,201.00381
200.58685,200.58311,200.62317,200.61817,200.64816,200.65036,200.67594,200.69212,200.71571,200.75104,200.77582,200.79267,200.83363,200.83913,200.85999,200.86148,200.87108,200.89142,200.90148,200.93219,200.94871,200.94485,200.96901,201.00182,200.99698
200.59311,200.59703,200.61469,200.66114,200.66889,200.67411,200.6893,200.69861,200.71973,200.75581,200.7656,200.7827,200.76584,200.80031,200.82783,200.86226,200.88347,200.89315,200.91336,200.91884,200.95265,200.9871,200.99569,201.02565,201.01216
200.57102,200.60645,200.58496,200.61262,200.67927,200.71274,200.72501,200.73084,200.73701,200.74814,200.75465,200.78682,200.84306,200.83233,200.83479,200.84222,200.86918,200.88472,200.90572,200.94319,200.93941,200.97315,201.00315,200.98661,201.02217
200.60229,200.60454,200.64751,200.62544,200.59528,200.63127,200.69205,200.7472,200.74321,200.73411,200.7301,200.75047,200.7418,200.80864,200.83558,200.84662,200.83773,200.89154,200.84347,200.91853,200.94849,200.97314,200.96715,200.98153,201.01421
200.60737,200.58824,200.61781,200.66779,200.6836,200.64789,200.64219,200.66678,200.70267,200.74841,200.79738,200.80712,200.78978,200.84,200.83361,200.86663,200.91648,200.89146,200.96198,200.92652,200.92771,200.91823,200.94827,200.99045,201.01189
200.58428,200.65147,200.63135,200.58874,200.61784,200.72053,200.70936,200.6792,200.69794,200.71254,200.75205,200.78855,200.8064,200.7909,200.81931,200.86927,200.85254,200.87992,200.87132,200.87673,200.9324,200.96071,200.99036,200.97376,200.98793
200.65101,200.60474,200.63356,200.67855,200.69161,200.63034,200.67888,200.73161,200.75223,200.74946,200.71329,200.71516,200.76369,200.7679,200.79341,200.79856,200.83827,200.84541,200.91606,200.94576,200.99573,200.94758,200.9562,201.01984,201.02192
200.59306,200.57618,200.65169,200.63816,200.62613,200.67692,200.70526,200.66565,200.67942,200.73121,200.77763,200.78205,200.79401,200.80039,200.84019,200.8372,200.85142,200.89869,200.85311,200.87356,200.86759,200.93861,200.96937,200.95097,201.02778
200.64999,200.6398,200.63397,200.65265,200.70456,200.70399,200.6645,200.73469,200.75171,200.75269,200.74079,200.72712,200.7613,200.78895,200.79109,200.81374,200.83515,200.86788,200.97462,200.93488,200.91097,200.94155,200.99745,201.04797,201.02954
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,0.54863,,,,,,,,,,,,,,,,,,,,,,
